PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,JAM,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCOF,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCOC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCNT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPBAN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPLEG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPVEG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCON,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPFRT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPPLA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPPOT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPYAM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPOTTU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCARBOV,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCARPOR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPCARPOL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPMILK,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,IMPOTRCAR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_FOR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_WET,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_CROP,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_PAS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_SET,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_OTL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_DEN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_DRY,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_SEC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,LU_MAN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_COF,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_COC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_CNT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_BAN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_LEG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_VEG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_CON,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_FRT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_CER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_PLA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_POT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_YAM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,AG_OTTU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,GA_CARBOV,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,GA_CARPOR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,GA_CARPOL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,GA_MILK,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,JAM,GA_OTRCAR,,,,,,,,,,1.0
