PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2010,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2011,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2012,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2013,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2014,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2015,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2016,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2017,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2018,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2019,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2020,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2021,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2022,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2023,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2024,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2025,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2026,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2027,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2028,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2029,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2030,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2031,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2032,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2033,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2034,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMP_ELE,,,,2035,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2010,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2011,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2012,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2013,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2014,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2015,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2016,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2017,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2018,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2019,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2020,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2021,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2022,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2023,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2024,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2025,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2026,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2027,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2028,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2029,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2030,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2031,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2032,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2033,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2034,,,,,,1.0
AvailabilityFactor,BAU,ECU,SOIALL,,,,2035,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2010,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2011,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2012,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2013,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2014,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2015,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2016,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2017,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2018,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2019,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2020,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2021,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2022,,,,,,1.0
AvailabilityFactor,BAU,ECU,IMPARR,,,,2023,,,,,,1.0
