PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2021,,,,,,5.0204
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2022,,,,,,5.4315
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2023,,,,,,5.6849
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2024,,,,,,5.794
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2025,,,,,,5.9062
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2026,,,,,,6.0199
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2027,,,,,,6.1336
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2028,,,,,,6.2474
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2029,,,,,,6.3611
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2030,,,,,,6.4748
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2031,,,,,,6.6016
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2032,,,,,,6.7284
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2033,,,,,,6.8551
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2034,,,,,,6.982
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2035,,,,,,7.1087
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2036,,,,,,7.2637
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2037,,,,,,7.4187
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2038,,,,,,7.5737
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2039,,,,,,7.7287
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2040,,,,,,7.8837
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2041,,,,,,8.0664
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2042,,,,,,8.2491
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2043,,,,,,8.4319
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2044,,,,,,8.6146
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2045,,,,,,8.7972
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2046,,,,,,9.0001
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2047,,,,,,9.2028
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2048,,,,,,9.4056
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2049,,,,,,9.6084
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2050,,,,,,9.8112
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2051,,,,,,10.0183
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2052,,,,,,10.2297
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2053,,,,,,10.4456
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2054,,,,,,10.666
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Auto,,,,2055,,,,,,10.8912
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Motos,,,,2021,,,,,,0.3664
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Motos,,,,2022,,,,,,0.3964
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Motos,,,,2023,,,,,,0.4149
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Motos,,,,2024,,,,,,0.4228
TotalTechnologyAnnualActivityLowerLimit,BAU,JAM,Techs_Motos,,,,2025,,,,,,0.431
