
Summary,CR
Emissions
,N2O_WASTE,8186.55
,CH4_WASTE,3.4788e+06
,CO2_WASTE,2.49135e+06
,CO2e_WASTE,1.02068e+08

Cost,10494.8

TID Demand

,CR
Fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
TWW,All,4951.46,5010.93,5041.28,5152.31,5206.24,5237.86,5267.38,5294.88,5320.86,5345.49,5368.4,5389.52,5408.38,5424.98,5440.07,5454.28,5468.37,5481.74,5494.28,5505.5,5515.34,5524.17,5531.56,5537.75,5542.45,5545.95,5547.62,5547.37,5544.91,5540.48,5533.71,5524.65,5513.18
E5TSWTSW,All,1462.4,1343.61,1459.29,1618.53,1615.76,1710.35,1801.06,1895.79,1994.88,2098.57,2206.9,2320,2437.85,2560.58,2688.72,2822.8,2963.47,3110.73,3264.8,3425.65,3593.52,3768.91,3951.83,4142.7,4341.64,4549.13,4764.97,4989.33,5222.17,5463.93,5714.46,5973.99,6242.56
E5TSWLANDFILL_ELEC,All,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
E5TSWIND_SW,All,395.578,363.446,394.737,437.813,437.063,462.65,487.186,512.811,539.615,567.663,596.965,627.56,659.438,692.637,727.299,763.567,801.62,841.454,883.127,926.638,972.047,1019.49,1068.97,1120.6,1174.41,1230.54,1288.93,1349.61,1412.6,1477.99,1545.76,1615.97,1688.61
E5WWTWW,All,4951.46,5010.93,5041.28,5152.31,5206.24,5237.86,5267.38,5294.88,5320.86,5345.49,5368.4,5389.52,5408.38,5424.98,5440.07,5454.28,5468.37,5481.74,5494.28,5505.5,5515.34,5524.17,5531.56,5537.75,5542.45,5545.95,5547.62,5547.37,5544.91,5540.48,5533.71,5524.65,5513.18
E5WWCATTLE,All,305.232,334.604,337.465,348.837,336.048,338.088,339.994,341.769,343.446,345.036,346.514,347.877,349.095,350.167,351.141,352.058,352.967,353.83,354.639,355.364,355.999,356.569,357.046,357.445,357.749,357.975,358.082,358.066,357.908,357.622,357.185,356.6,355.86
E5WWPIGS,All,270.072,277.213,288.039,282.381,292.163,293.937,295.594,297.137,298.595,299.977,301.263,302.448,303.507,304.438,305.285,306.083,306.873,307.623,308.327,308.956,309.509,310.004,310.419,310.766,311.03,311.226,311.32,311.306,311.168,310.92,310.54,310.032,309.388
E5WWPOULTRY,All,45.1667,48.3333,45.8333,49.272,50.746,51.0542,51.342,51.61,51.8632,52.1033,52.3267,52.5324,52.7163,52.8782,53.0251,53.1637,53.301,53.4314,53.5536,53.6629,53.7589,53.8449,53.917,53.9772,54.0231,54.0572,54.0735,54.071,54.0471,54.0039,53.9379,53.8496,53.7378
E5WWCOFFE,All,1775.12,1910.51,1750.51,2171.74,1697.97,1708.28,1717.91,1726.88,1735.35,1743.39,1750.86,1757.75,1763.9,1769.31,1774.23,1778.87,1783.46,1787.82,1791.91,1795.57,1798.78,1801.66,1804.07,1806.09,1807.62,1808.76,1809.31,1809.23,1808.43,1806.98,1804.77,1801.82,1798.08
E5WWSUGARCANE,All,4.4212,4.025,4.092,3.995,3.8979,3.9216,3.9436,3.9643,3.9837,4.0021,4.0193,4.0351,4.0492,4.0616,4.073,4.0836,4.0941,4.1041,4.1135,4.122,4.1294,4.1359,4.1415,4.1461,4.1496,4.1522,4.1535,4.1533,4.1515,4.1481,4.1431,4.1363,4.1277
E5WWPALM,All,1087.8,1081.8,1156,1161.9,1161.9,1168.96,1175.55,1181.68,1187.48,1192.98,1198.09,1202.8,1207.01,1210.72,1214.08,1217.26,1220.4,1223.38,1226.18,1228.69,1230.88,1232.85,1234.5,1235.88,1236.93,1237.71,1238.09,1238.03,1237.48,1236.49,1234.98,1232.96,1230.4
CO2_CH4_BURN,All,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250
E5TSWCO2_CH4_BURN,All,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250

TotalAnnualCapacity (Capacity Units)
Technology,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
INORG_RCY_OS,53.473,39.827,45.511,63.917,75.983,142.201,142.201,142.201,149.311,156.421,158.791,161.161,163.531,167.797,172.063,176.329,180.595,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861
AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPOST,4.857,50.677,43.736,43.756,45.525,53.47,59.4171,59.4171,62.388,65.3588,68.3297,71.3005,74.2714,77.2422,80.2131,83.1839,86.1548,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257
LANDFILL,1296.2,1162.45,1223.21,1282.06,1323.99,1342.01,1417.87,1504.82,1460.78,1475.71,1470.07,1523.56,1581.41,1623.25,1670.06,1722.32,1780.64,1845,1986.4,2134.04,2288.11,2449.09,2616.98,2792.17,2974.76,3165.21,3363.32,3569.24,3782.94,4004.84,4234.78,4473,4719.5
NO_CONTR_OD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPROC,3.04,0.203,1.81,48.259,51.735,54.643,54.643,54.643,57.3752,60.1073,62.8395,65.5716,68.3038,71.0359,73.7681,76.5002,79.2324,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645,81.9645
INCIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_MSW,0,0,0,0,0,0,0,0,109.5,164.25,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
HTC,0,0,0,0,0,0,0,0,12.6736,25.3472,67.5926,109.838,152.083,212.917,273.75,334.583,395.417,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25,456.25
