PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2021,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2022,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2023,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2024,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2025,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2026,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2027,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2028,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2029,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2030,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2031,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2032,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2033,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2034,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2035,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2036,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2037,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2038,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2039,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2040,,,,,,1.04
InputActivityRatio,NDCcond,CR,ELE_TRN,E1_ELE,,1,2041,,,,,,1.04
