PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2018,,,,,,23.2787
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2019,,,,,,24.4338
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2020,,,,,,24.5931
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2021,,,,,,24.9481
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2022,,,,,,25.4301
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2023,,,,,,25.9695
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2024,,,,,,26.609
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2025,,,,,,29.0357
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2026,,,,,,31.419
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2027,,,,,,33.8173
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2028,,,,,,36.218
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2029,,,,,,38.6091
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2030,,,,,,40.9797
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2031,,,,,,43.3197
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2032,,,,,,45.5459
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2033,,,,,,47.6525
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2034,,,,,,49.6362
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2035,,,,,,51.4958
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2036,,,,,,53.2321
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2037,,,,,,54.8475
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2038,,,,,,56.3454
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2039,,,,,,57.7304
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2040,,,,,,59.1069
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2041,,,,,,60.4739
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2042,,,,,,61.8305
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2043,,,,,,63.176
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2044,,,,,,64.5095
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2045,,,,,,65.8167
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2046,,,,,,67.097
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2047,,,,,,68.3501
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2048,,,,,,69.5755
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2049,,,,,,70.7729
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Auto,,,,2050,,,,,,71.9422
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2018,,,,,,12.4585
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2019,,,,,,14.4237
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2020,,,,,,17.0102
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2021,,,,,,19.5038
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2022,,,,,,21.959
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2023,,,,,,24.4884
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2024,,,,,,27.685
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2025,,,,,,30.2099
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2026,,,,,,32.6894
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2027,,,,,,35.1847
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2028,,,,,,37.6825
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2029,,,,,,40.1703
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2030,,,,,,42.6368
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2031,,,,,,45.0714
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2032,,,,,,47.3877
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2033,,,,,,49.5794
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2034,,,,,,51.6433
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2035,,,,,,53.5781
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2036,,,,,,55.3846
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2037,,,,,,57.0653
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2038,,,,,,58.6238
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2039,,,,,,60.0648
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2040,,,,,,61.497
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2041,,,,,,62.9192
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2042,,,,,,64.3307
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2043,,,,,,65.7306
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2044,,,,,,67.1181
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2045,,,,,,68.4781
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2046,,,,,,69.8102
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2047,,,,,,71.1139
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2048,,,,,,72.3889
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2049,,,,,,73.6347
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Motos,,,,2050,,,,,,74.8514
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2018,,,,,,0.7127
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2019,,,,,,0.7658
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2020,,,,,,0.8051
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2021,,,,,,0.8457
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2022,,,,,,0.8893
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2023,,,,,,0.9359
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2024,,,,,,0.995
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2025,,,,,,1.0858
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2026,,,,,,1.1749
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2027,,,,,,1.2646
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2028,,,,,,1.3544
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2029,,,,,,1.4438
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2030,,,,,,1.5324
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2031,,,,,,1.6199
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2032,,,,,,1.7032
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2033,,,,,,1.782
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2034,,,,,,1.8561
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2035,,,,,,1.9257
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2036,,,,,,1.9906
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2037,,,,,,2.051
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2038,,,,,,2.107
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2039,,,,,,2.1588
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2040,,,,,,2.2103
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2041,,,,,,2.2614
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2042,,,,,,2.3121
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2043,,,,,,2.3624
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2044,,,,,,2.4123
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2045,,,,,,2.4612
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2046,,,,,,2.5091
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2047,,,,,,2.5559
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2048,,,,,,2.6018
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2049,,,,,,2.6465
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pri,,,,2050,,,,,,2.6903
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2018,,,,,,0.8266
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2019,,,,,,0.89
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2020,,,,,,0.9385
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2021,,,,,,0.9895
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2022,,,,,,1.0433
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2023,,,,,,1.1001
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2024,,,,,,1.1712
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2025,,,,,,1.278
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2026,,,,,,1.3829
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2027,,,,,,1.4884
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2028,,,,,,1.5941
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2029,,,,,,1.6993
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2030,,,,,,1.8037
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2031,,,,,,1.9067
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2032,,,,,,2.0047
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2033,,,,,,2.0974
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2034,,,,,,2.1847
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2035,,,,,,2.2665
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2036,,,,,,2.3429
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2037,,,,,,2.414
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2038,,,,,,2.48
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2039,,,,,,2.5409
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2040,,,,,,2.6015
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2041,,,,,,2.6617
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2042,,,,,,2.7214
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2043,,,,,,2.7806
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2044,,,,,,2.8393
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2045,,,,,,2.8968
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2046,,,,,,2.9532
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2047,,,,,,3.0083
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2048,,,,,,3.0623
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2049,,,,,,3.115
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Pub,,,,2050,,,,,,3.1665
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2018,,,,,,4.0471
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2019,,,,,,4.336
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2020,,,,,,4.5407
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2021,,,,,,4.7553
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2022,,,,,,4.9843
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2023,,,,,,5.227
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2024,,,,,,5.5333
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2025,,,,,,6.038
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2026,,,,,,6.5336
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2027,,,,,,7.0323
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2028,,,,,,7.5315
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2029,,,,,,8.0288
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2030,,,,,,8.5217
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2031,,,,,,9.0083
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2032,,,,,,9.4713
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2033,,,,,,9.9093
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2034,,,,,,10.3218
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2035,,,,,,10.7085
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2036,,,,,,11.0696
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2037,,,,,,11.4055
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2038,,,,,,11.717
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2039,,,,,,12.005
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2040,,,,,,12.2913
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2041,,,,,,12.5755
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2042,,,,,,12.8576
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2043,,,,,,13.1374
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2044,,,,,,13.4147
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2045,,,,,,13.6866
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2046,,,,,,13.9528
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2047,,,,,,14.2134
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2048,,,,,,14.4682
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2049,,,,,,14.7172
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Buses_Micro,,,,2050,,,,,,14.9604
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Telef,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,Techs_Trains,,,,2046,,,,,,0.0
