PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDCincond,CR,RAW_MAT_CLK,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,RAW_MAT_CEM,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,IMP_STOR,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,LIME_PROD,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,GLASS_PROD,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,CARBONATE,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,NITRIC_ACID,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,CARBIDE_PROD,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,LUBRI_OILS,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,LUBRI_GREASE,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,PARAFFIN,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,REFR_AC_HFC32,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,REFR_AC_HFC125,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,REFR_AC_HFC134a,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,REFR_AC_HFC143a,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,REFR_AC_HFC152a,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,REFR_AC_HFC23,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,FIRE_PROT_HFC125,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,AEROSOLS_HFC152a,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,FLUOR_GLASS_HFC152a,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,SF6_USE,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,PROD_CLK_TRAD,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,PROD_CEM,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5CEM_PRODIND,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5LIME_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5GLASS_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5CARBONATEIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5NITRIC_ACIDIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5CARBIDE_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5LUBRI_OILSIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5LUBRI_GREASEIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5PARAFFINIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5REFR_AC_HFC32IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5REFR_AC_HFC125IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5REFR_AC_HFC134aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5REFR_AC_HFC143aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5REFR_AC_HFC152aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5REFR_AC_HFC23IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5FIRE_PROT_HFC125IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5AEROSOLS_HFC152aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5FLUOR_GLASS_HFC152aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCincond,CR,T5SF6_USEIPPU,,,,,,,,,,1
